notice,2
none,2
next,2
newly,2
nevertheless,2
near,2
names,2
multi-million-dollar,2
mrs.,2
most,2
modernizing,2
might,2
merger,2
mention,2
mental,2
medical,2
meanwhile,2
mayor-nominate,2
may,2
matters,2
marvin,2
married,2
many,2
management,2
man,2
making,2
major,2
made,2
lt.,2
lived,2
likely,2
let,2
less,2
legislation,2
ledford,2
learned,2
largest,2
lacking,2
l.,2
keeping,2
juries,2
judge,2
jr,2
john,2
james,2
j.m,2
itself,2
items,2
item,2
issued,2
issuance,2
investigation,2
investigate,2
inure,2
intern,2
interlude,2
interim,2
intends,2
influences,2
incorporated,2
inadequate,2
improving,2
hurdle,2
house,2
hospital,2
homes,2
hold,2
highways,2
henry,2
heavily,2
health,2
head,2
hard-fought,2
handling,2
handful,2
gubernatorial,2
guardians,2
greater,2
granted,2
grady,2
governments,2
gop,2
goes,2
go,2
given,2
getting,2
generally,2
garland,2
gainesville,2
future,2
further,2
friendly,2
four,2
found,2
foster,2
force,2
fj,2
five,2
fit,2
fire,2
find,2
filed,2
fees,2
feel,2
federal,2
featured,2
farms,2
fair,2
failure,2
fact,2
face,2
extern,2
expires,2
experienced,2
expense,2
executive,2
evidence,2
every,2
establishment,2
equitable,2
enthusiastic,2
enthusiasm,2
entering,2
end,2
encouragement,2
employes,2
eliminate,2
elaborate,2
efficiency,2
effective,2
effected,2
effect,2
earlier,2
each,2
e.,2
duty,2
durwood,2
dorsey,2
done,2
doctor,2
do,2
divorce,2
distribution,2
distribute,2
dissents,2
disproportionate,2
disable,2
director,2
determine,2
despite,2
deserves,2
day,2
daughter,2
date,2
cruelty,2
crowd,2
criticisms,2
courts,2
courses,2
council,2
costs,2
cost,2
coordinator,2
contracts,2
continue,2
consulted,2
constitution,2
considering,2
conducted,2
concessionaires,2
compensation,2
commissioner,2
combined,2
clerical,2
citizens,2
child,2
cheshire,2
chambers,2
cent,2
career,2
candidates,2
can,2
burden,2
brought,2
brief,2
bowden,2
body,2
birth,2
best,2
berry,2
bellwood,2
believes,2
begin,2
become,2
became,2
battle,2
bar,2
ballot,2
back,2
b.d,2
b.,2
awarding,2
available,2
automobile,2
authorities,2
aug.,2
attorneys,2
attended,2
association,2
assistant,2
assistance,2
asked,2
ask,2
areas,2
approve,2
appraisers,2
appointment,2
appointed,2
apparently,2
any,2
announced,2
among,2
amicable,2
ambiguous,2
alternative,2
alpharetta,2
allowed,2
allowances,2
allotted,2
all,2
ala,2
agreed,2
against,2
afternoon,2
after,2
administrators,2
adjustments,2
actions,2
achieve,2
according,2
accepted,2
about,2
8,2
74,2
71,2
637,2
50,2
4,2
30,2
3,2
1962,2
1961,2
1958,2
1937,2
1923,2
1913,2
13,2
100,2
10,2
